abandon;vt. 放弃,沉溺n. 放任;[4'b1nd4n]
fanatic;n. 狂热,狂热者,盲信a. 狂热的,盲信的;[f4'n1tik]
fanaticism;n. 狂热,盲信;[f4'n1tisizm]
fantasy;n. 幻想,白日梦;['f1nt4si]
farce;n. 闹剧,滑稽剧,胡闹;[fa:s]
fascinate;vt. 令人入神,使着迷vi. 入迷;['f1sineit]
fashionable;a. 时髦的,上流社会的,流行的;['f154n4bl]
fatalism;n. 宿命论;['fetl'iz4m]
fateful;a. 宿命的,重大的,决定性的;['feitful]
fatuous;a. 发呆的,愚笨的,自满的;['f1tju4s]
feasible;a. 能实行的,可行的,适宜的;['fi:z4bl]
feat;n. 壮举,功绩,技艺表演a. 漂亮的,合适的;[fi:t]
feeble;a. 微弱的,衰弱的,无效的;['fi:bl]
feign;vt. 假装,装作vi. 作假;[fein]
fermentation;(U) 1 发酵 (作用) 2 骚动,人心的动摇,激动;['f4:men'tei5n]
ferocious;a. 残忍的,凶猛的;[f4'r4u54s]
ferret;n. 白鼬,雪貂,侦探,细带vt. 用雪貂打猎,搜出,驱出vi. 搜索;['fArit]
fertile;a. 肥沃的,生产多的,能生产的;['f4:tail]
fertilizer;n. 肥料,受精媒介物;['f4:tilaiz4]
fervent;a. 热的,炎热的,热心的;['f4:v4nt]
fester;vi. 溃烂,生脓,生脓vt. 使溃烂n. 脓疮,溃烂;['fest4]
fetter;n. 脚镣,羁绊,束缚vt. 束缚,加脚镣;['fet4]
feud;n. 不和,封地,争执vi. 长期不和,长期争斗;[fju:d]
feverish;a. 兴奋的;['fi:v4ri5]
fickle;a. 变幻无常的,浮躁的,薄情的;['fikl]
fiction;n. 小说,虚构的故事,法律的拟制;['fik54n]
fictitious;a. 假想的,编造的,虚伪的;[fik'ti54s]
fidelity;n. 忠实,诚实,忠诚,保真度;[fi'deliti]
figment;n. 虚构的事;['figm4nt]
figurehead;n. 装饰船头的人像,破浪神,傀儡领袖;[fig4hed]
filthy;a. 污秽的,丑恶的;['fil7i]
final;n. 结局,决赛,期末考试a. 最后的,终极的,决定性的;['fainl]
finance;n. 财政,财务vt. 供给...经费,负担经费vi. 筹措资金;[fai'n1ns,fi-]
finch;n. 雀类;[fint5]
fine;n. 罚款,罚金,晴天a. 好的,晴朗的,精细的,细小的,健康的vt. 罚款,精炼,澄清vi. 变清,变细ad. 很好;[fain]
firm;n. 公司,商号a. 坚定的,坚强的,牢固的,结实的,坚硬的,确定的,严格的,坚挺的vt. 使牢固,使坚定vi. 变稳固,变坚实ad. 稳固地;[f4:m]
fishy;a. 鱼似的,多鱼的,腥臭的,呆滞的;['fi5i]
fit;n. 适宜,合身,发作,痉挛a. 适宜的,对的,准备好的vt. 适合,安装,使合格,使适应,使合身vi. 适合,符合,合身;[fit]
fitful;a. 断断续续的,一阵阵的,间歇的;['fitful]
fitting;a. 适宜的n. 试穿,试衣,装配,装置;['fiti6]
fixed;a. 固定的,不变的,准备好的;[fikst]
fixture;n. 固定物,设备;['fikst54]
flare;n. 闪光,闪耀vi. 闪光,闪耀vt. 使闪耀,使张开;[flA4]
flatter;vt. 过分夸赞,奉承,阿谀,使高兴;['fl1t4]
flavor;n. 滋味,香料vt. 加味于;['fleiv4]
flaw;n. 缺点,裂纹,瑕疵,一阵狂风;[fl3:]
flay;vt. 剥皮,去皮,抢夺;[fle]
flee;vt. 逃避,逃跑,逃走vi. 逃,消失;[fli:]
flexible;a. 易曲的,灵活的,可通融的,能变形的,柔软的;['fleks4bl]
flicker;n. 闪烁,闪光,颤动vi. 闪动,闪烁,摇动,扑动翅膀vt. 使摇曳,使闪烁;['flik4]
flighty;a. 轻浮的,轻狂的,心情浮动的;['flaiti]
flimsy;a. 易坏的,脆弱的,浅薄的n. 薄纸,描图用薄纸,薄纸稿纸;['flimzi]
flip;vt. 掷,弹,轻击,空翻vi. 用指轻弹,抽打,蹦跳n. 抛,弹,筋斗;[flip]
flora;n. 植物群;['fl3:r4]
flounder;vi. 挣扎,折腾,挣扎着前进n. 挣扎,焦躁,辗转,比目鱼;['flaund4]
flout;vt. 嘲笑,愚弄vi. 表示轻蔑n. 嘲笑,愚弄,轻视;[flaut]
fluctuate;vi. 变动,上下,动摇vt. 使动摇;['fl8ktjueit]
fluent;a. 流利的,流畅的;['flu1:34nt]
fluffy;a. 毛茸茸的,蓬松的,愚蠢的;['fl8fi]
flush;n. 流溢,面红,旺盛,一手同花的五张牌,惊飞的鸟,发烧a. 丰足的,齐平的,,泛滥的,满盈的ad. 齐平地,直接地vi. 脸发红,奔涌,旺盛,惊飞vt. 淹没,冲洗,使脸红,使惊飞,使齐平,使激动;[fl85]
fluster;n. 慌乱,狼狈,混乱,激动vt. 使酩醉,使慌张,使激动vi. 混乱;['fl8st4]
foam;n. 泡沫,水沫,泡沫材料vi. 起泡沫,吐白沫vt. 使起泡沫;[f4um]
foe;n. 仇敌,反对者,敌人;[f4u]
fog;n. 雾,迷惑,苔藓vi. 被雾笼罩,变模糊vt. 使困惑,以雾笼罩;[f3g]
foil;n. 箔,烘托,衬托vt. 衬托,阻止,贴箔于,挫败,挡开;[f3il]
foment;vt. 热罨,煽动;[f4u'mAnt]
foremost;a. 最初的,最重要的ad. 在最前;['f3:m4ust]
forerunner;n. 先驱;['f4ur'r8n4]
foresee;vt. 预见,预知;[f3:'si:]
foresight;n. 远见,深谋远虑;['f3:sait]
forestall;vt. 先...一步行动,占先一步,垄断,阻碍;[f3:'st3:l]
forge;n. 熔炉,铁工厂vt. 打制,锻炼,伪造vi. 锻造,伪造;[f3:d9]
forlorn;a. 孤独的,悲惨的,凄凉的;[f4'l3:n]
formal;a. 正式的,形式的,礼仪的n. 正式的社交活动;['f3:m4l]
former;a. 从前的,前者的n. 形成者,模型,样板;['f3:m4]
formidable;a. 强大的,可怕的,艰难的;['f3:mid4bl]
forsake;vt. 放弃,断念,抛弃;[f4'seik]
fort;n. 堡垒,易货站,要塞vt. 设要塞保卫vi. 设要塞;[f3:t]
forte;"n. 1 [one's ~]长处,擅长,优点,拿手好戏2 (C)[剑术]剑腰(剑柄至中央部分,为剑身最强的部分; cf. foible 2)";['f3:tei,f3:t]
forth;ad. 往前,向外;[f3:7]
forthright;ad. 直接地,马上,立即a. 直接的,直率的,坦白的,豪爽的n. 直路;[f3:7'rait]
fortify;vt. 设要塞于,加强,使坚强,增加vi. 筑防御工事;['f3:tifai]
fortitude;n. 刚毅,坚毅,不屈不挠;['f3:titju:d]
fortress;n. 城堡,要塞vt. 筑要塞,以要塞防守;['f3:tris]
fortuitous;a. 偶然的;[f3:'tju:it4s]
fortunate;a. 幸运的,幸福的;['f3:t54nit]
fortune;n. 财富,运气,兴隆,命运,好运,大量财产;['f3:t54n]
foul;a. 污秽的,邪恶的,恶臭的,淤塞的,恶劣的vt. 弄脏,妨害,淤塞,犯规,污蔑vi. 腐烂,犯规,缠结ad. 违反规则地,不正当地n. 犯规,缠绕;[faul]
fowl;n. 鸟,飞禽,家禽vi. 打鸟;[faul]
fraction;n. 分数,小部分,破片;['fr1k54n]
fracture;n. 破碎,骨折vt.vi. (使)破碎,(使)破裂;['fr1kt54]
fragile;a. 易碎的,脆的;['fr1d9ail]
fragment;n. 碎片,破片,断片;['fr1gm4nt]
fragmentary;"adj. 1 破片的,碎片的2 由断片构成的; 片断的; 残缺不全的";['fr1gm4nt4ri]
fragrant;a. 芳香的,馥郁的,愉快的;['freigr4nt]
frail;a. 脆弱的,虚弱的,意志薄弱的n. 灯心草篓;[freil]
frank;a. 坦白的,率直的,老实的vt. 免费邮寄n. 法兰克,免费邮寄特权;[fr16k]
fraternal;a. 兄弟的,兄弟似的,友爱的;[fr4't4:nl]
fraud;n. 骗子,欺骗,欺诈,诡计;[fr3:d]
fraudulent;a. 欺诈的,不正的,不诚实的;['fr3d94l4nt]
fraught;a. 含有...的,伴着...的,充满...的;[fr3:t]
frenzy;n. 狂暴,狂怒;['frenzi]
fret;n. 烦躁,磨损,焦急,网状饰物vi. 烦恼,不满,磨损vt. 使烦恼,腐蚀,使磨损,使起波纹;[fret]
friction;n. 摩擦,医疗摩擦,不和;['frik54n]
fright;n. 惊骇,吃惊;[frait]
frigid;a. 寒冷的,严寒的,冷淡的;['frid9id]
frown;n. 皱眉vi. 皱眉头vt. 皱眉表示;[fraun]
frowzy;a. 不整洁的,有臭味的,很闷的;['frauzi]
frugal;a. 节俭的,朴素的;['fru:g4l]
frustrate;vt. 挫败,击败,破坏a. 无益的,挫败的,挫折的;[fr8s'treit]
fulminate;vt. 使爆发,以严词谴责vi. 爆炸,怒喝,电闪n. 雷酸盐,雷汞;['f8lm4'net]
functional;a. 功能的;['f86k54nl]
fund;n. 基金,资金,贮藏,财源,存款vt. 提供资金,积累;[f8nd]
fundamental;n. 基本原理,原则,基谐波a. 基本的,重要的,原音的;['f8nd4'mentl]
furious;a. 狂怒的,激烈的,吵闹的;['fju4ri4s]
furniture;n. 家具,附属品;['f4:nit54]
further;a. 更远的,此外的,更多的vt. 促进,增进,助长ad. 更进一步地,更远地,此外;['f4:04]
fury;n. 愤怒,狂暴,狂怒的人;['fju4ri]
fusion;n. 熔合物,结合,熔合;['fju94n]
fussy;a. 爱挑剔的,难取悦的,易烦恼的;['f8si]
futile;a. 无用的,琐细的,无效果的;['fju:tail]
fuzzy;a. 有微毛的,失真的,模糊的;['f8zi]
gabble;vi. 喋喋不休地说vt. 急促地说n. 急促讲出而叫人听不清说的话;['g1bl]
gainful;a. 有利益的,唯利是图的;['geinful]
gainsay;vt. 否定,反驳;[gein'sei]
galaxy;n. 银河,星系,一群显赫的人物;['g1l4ksi]
gale;n. 狂风,大风,定期租金;[geil]
gallant;a. 英勇的,壮丽的,华丽的;['g1l4nt]
gallery;n. 走廊,最高楼座,画廊n. 图库;['g1l4ri]
gangster;n. 歹徒;['g16st4]
gap;n. 缝隙,缺口,间断vt. 打开缺口,造成缝隙vi. 豁开n. 间距n. 通用汇编程序;[g1p]
garb;n. 打扮,装束vt. 打扮,穿衣;[ga:b]
garner;n. 谷仓,积蓄vt. 储存,贮藏;['garn4]
garnish;n. 装饰,装饰品vt. 装饰;['ga:ni5]
gash;n. 砍得很深的伤口,很深的裂缝vt.vi. (使)负深伤,划开,砍入很深;[g15]
gasoline;n. 汽油;['g1s4li:n]
gasp;n. 喘气vi. 喘气,喘息,渴望vt. 气喘吁吁地说;[ga:sp]
gauche;a. 笨拙的,粗鲁的,无礼的;[g4u5]
gauge;n. 标准度量,计量器vt. 精确计量,估计;[geid9]
gaze;n. 注视,凝视vi. 注视,凝视;[geiz]
gear;n. 齿轮,工具vt. 以齿轮连起,开动,配搭活动,安排vi. 连接上,适合;[gi4]
gem;n. 珠宝,宝石,珍贵之物vt. 饰以宝石;[d9em]
general;n. 一般,将军,大体a. 一般的,普遍的,总的,大体的n. 常规;['d9en4r4l]
generalize;vt. 一般化,概括,推广vi. 形成概念,笼统讲;['d9en4r4laiz]
generally;ad. 通常,逐渐地,普遍地;['d9en4r4li]
generate;vt. 产生,发生,导致;['d9en4reit]
generous;a. 有雅量的,量大的,慷慨的,丰富的,大量的;['d9en4r4s]
generously;adv. 1 慷慨地,大方地,不吝啬地2 [修饰整句] (真) 宽大3 丰富地;['d_en_r_sli]
genial;a. 和蔼的,亲切的,友善的;['d9i:nj4l]
genre;n. 类型,流派;[92:6r]
genteel;a. 有教养的,上流的,优雅的;[d9en'ti:l]
gentility;"(U) 假充上流,假装文雅; 假派头";[d9en'til4ti]
gentry;n. 贵族们;['d9entri]
genuine;a. 真正的,真实的,诚恳的;['d9enjuin]
geometry;n. 几何学;[d9i'3mitri]
germinate;vi. 发芽,萌芽,开始发育vt. 使发芽,使发达;['d94:mineit]
gibe;vt.vi. 嘲笑n. 嘲笑;[d9aib]
gild;vt. 镀金,虚饰,装饰,使有钱;[gild]
girdle;n. 腰带,围绕物vt. 以腰带束缚,围绕;['g4:dl]
gist;n. 要点,要旨,依据;[d9ist]
glacier;n. 冰河;['gl1sj4]
glamour;n. 迷人的美,魔法vt. 迷惑;['gl1m4]
glamorous;a. 富有魅力的,迷人的;['gl1m4r4s]
glaring;a. 闪耀的,炫目的,瞪视的;['glA4ri6]
glaze;n. 釉,上光,光滑面vt. 装以玻璃,上釉于vi. 变成为光滑,变呆滞;[gleiz]
gleam;n. 微弱的闪光,瞬息的一现vi. 闪烁,隐约地闪现vt. 使发微光,使闪烁;[gli:m]
glean;vt.vi. 拾落穗,收集;[gli:n]
gleeful;a. 愉快的;['gli:fl]
glide;n. 滑动,滑过,流水vi. 滑动,滑翔,溜走vt. 使滑动;[glaid]
gloom;n. 忧沉,幽暗vi. 变忧沉,变黑暗vt. 使黑暗,使忧郁;[glu:m]
gloomy;a. 抑沉的,忧闷的,黑暗的,悲观的;['glu:mi]
glorious;a. 光荣的,显赫的;['gl3:ri4s]
glossary;n. 字典,辞典,词汇表n. 图文集,词汇,术语;['gl3s4ri]
glossy;a. 平滑的,有光泽的;['gl3si]
;;
28003;;
;;
gnaw;vt.vi.咬,啃,侵蚀,折磨;[n3:]
gorge;n. 峡谷,饱食,咽喉vi. 狼吞虎咽vt. 塞饱;[g3:d9]
gorgeous;a. 华丽的,灿烂的;['g3:d94s]
gossip;n. 闲聊,随笔,流言,爱讲闲话的人vi. 说闲话,闲聊;['g3sip]
govern;vt.vi. 统治,支配,管理;['g8v4n]
grab;n. 抓握,掠夺,强占,挖掘机vi. 抓取,抢去vt. 攫取,霸占;[gr1b]
gracious;a. 亲切的,高尚的;['grei54s]
grand;a. 壮观的,显赫的,神气活现的,重大的,主要的,最高的,雄伟的,傲?豪华的,宏大的;[gr1nd]
grasp;n. 把握,抓紧,抓,理解,控制,柄vt. 抓住,紧握,领会vi. 抓;[gra:sp]
grateful;a. 感谢的,感激的,受欢迎的;['greitful]
gratify;vt. 使满足;['gr1tifai]
gratitude;n. 感谢的心情;['gr1titju:d]
gratuitous;a. 免费的,无理由的;[gr4'tjuit4s]
gravity;n. 地心引力,重力;['gr1viti]
grease;n. 兽脂,油脂,贿赂vt. 涂脂于,贿赂;[gri:s,gri:z]
greasy;a. 油腻的,滑溜溜的,泥泞的;['gri:si]
greedy;a. 贪婪的,贪得的,贪吃的;['gri:di]
gregarious;a. 社交的,群居的;[gre'gA4ri4s]
grievance;n. 委屈,冤情,苦况;['gri:v4ns]
grieve;vt. 使悲伤vi. 悲痛,伤心;[gri:v]
grieved;adj. 忧伤;[gri:vd]
grim;a. 冷酷的,残忍的,坚强的,讨厌的,可怕的;[grim]
grind;n. 磨,碾,苦差,书呆子vt. 摩擦,磨碎,磨光,灌输,压榨,折磨vi. 磨,磨碎,苦干;[graind]
grip;n. 紧握,柄,手提包,控制,支配,掌握vt. 抓紧,抱住,吸住,控制,支配,掌握vi. 握牢;[grip]
grope;vi.vt.n. 摸索;[gr4up]
grouchy;a. 不高兴的,不平的;['graut5i]
grudge;n. 怨恨,恶意vt. 怀恨,嫉妒,吝惜;[gr8d9]
grumble;n. 怨言,满腹牢骚vi.呻吟,抱怨,发牢骚vt. 喃喃地说出;['gr8mbl]
grumpy;a. 性情乖戾的,脾气暴躁的;['gr8mpi]
guarantee;n. 担保,抵押品,保证书vt. 保证,担保;['g1r4n'ti:]
guileless;a. 不狡猾的,诚实的;[gailis]
guise;n. 外观,伪装vt.vi. 伪装;[gaiz]
gush;n. 涌出,滔滔不绝的讲话vi.vt. 涌出,迸出,滔滔不绝的讲话;[g85]
habitually;adv. 习惯地;[h_'bitju_li]
hackneyed;a. 不新奇的,常见的,陈腐的;['h1knid]
haggle;vi. 争论,杀价vt. 乱砍,乱劈n. 杀价,讨论,争论;['h1gl]
hail;n. 冰雹,致敬,招呼vt. 向...欢呼,致敬,招呼,使象下雹样落下vi. 招呼,下雹;[heil]
halt;n. 停止,立定,休息vt. 使停止,使立定vi. 立定,停止,有缺点,踌躇,蹒跚n. 停止;[h3:lt]
hamper;n. 食盒,食篮,阻碍物vt.阻碍,使困累,妨碍;['h1mp4]
handicap;n. 障碍,困难vt. 加障碍于,妨碍;['h1ndik1p]
handle;n. 柄,把手,把柄,手感vt. 触摸,运用,操作,处理,买卖vi. 搬运,易于操纵n. 句柄;['h1ndl]
handy;a. 便利的,敏捷的,容易取得的;['h1ndi]
haphazard;n. 偶然,偶然事件a. 偶然的,随便的ad. 偶然地;['h1p'h1z4d]
harass;vt. 使困扰,使烦恼,折磨,反复袭击;['h1r4s]
hardheaded;a. 冷静的,脚踏实地的,无懈可击的;[h2:d'hedid]
hardly;ad. 刚刚,几乎不,勉强是;['ha:dli]
hardy;a. 难的,艰苦的,坚硬的,勇敢的ad. 努力地,辛苦地,坚硬地;['ha:di]
harness;n. 马具,系在身上的绳子,甲胄vt. 束以马具,披上甲胄,利用...以产生动力;['ha:nis]
harry;vt. 掠夺,使苦恼,骚扰,折磨,侵掠;['h1ri]
harsh;a. 粗糙的,刺耳的,严厉的;[ha:5]
harvest;n. 收获,成果,收获物,收获期vt.vi. 收割,收获;['ha:vist]
hasten;vt. 催促,促进vi. 赶快,急忙;['heisn]
hasty;a. 匆匆的,轻率的,急忙的;['heisti]
hatch;n. 孵化,舱口vt. 孵,孵出,策划vi. 孵化;[h1t5]
hatchet;n. 斧头,手斧,战斧;['h1t5it]
hatred;n. 憎恨,仇恨,憎恶;['heitrid]
haughty;a. 傲慢的,骄傲的,不逊的;['h3:ti]
haul;n. 用力拖拉,拖,拖运距离,捕获物,拉vi. 拖,拉,改变方向,改变主意vt. 拖拉,拖运;[h3:l]
haunt;n. 常到的地方,生息地vt. 常到,出没于,萦绕于vi. 出没,作祟;[h3:nt]
haven;n. 港口,避难所,安息所vt. 安置...于港中,庇护,入港;['heivn]
hazard;n. 冒险,危险,机会vt. 冒...的危险,赌运气,使遭危险;['h1z4d]
hazardous;a. 危险的,冒险的,赌运气的;['h1z4d4s]
head;n. 头,头脑,最前的部分,脑袋,领袖vt. 为首,朝向,前进,用头顶vi. 成头状物,出发a. 头的,主要的;[hed]
headstrong;a. 顽固的,刚愎的,任性的;['hedstr3:6]
heal;vi. 痊愈vt. 使复原,使和解,治愈;[hi:l]
healthful;a. 有益健康的,使人健康的,卫生的;['hel7ful]
hearsay;n. 风闻,传闻a. 传闻的;['hi4sei]
heave;n. 举,抛,起伏,鼓起vt.用力举起,使胀起,使鼓起vi. 抛出,起伏,喘息,凸起;[hi:v]
hectic;a. 脸上发红,发热的,消耗热的,肺病的n. 脸红,消耗热患者;['hAktik]
heedless;a. 不注意的,不留心的,不谨慎的;['hi:dlis]
heirship;(U) 继承人之地位[权利];"['___ip;'____ip]"
helpless;a. 无助的,无能为力的,无依无靠的;['helplis]
heredity;n. 遗传,形质遗传;[hi'rediti]
heresy;n. 异端,异教;['her4si]
heritage;n. 遗产,祖先所留之物,继承物;['heritid9]
hesitate;vi. 犹豫,迟疑,踌躇,支吾;['heziteit]
hew;vt. 砍,砍倒,砍成vi. 砍,劈,坚持;[hju]
hideous;a. 丑恶的,可憎的,可怕的;['hidi4s]
highlight;n. 加亮区,精彩场面vt. 加亮,使显著,以强光照射n. 突出;['hailait]
hike;n. 徒步旅行,远足,涨价,提高vi. 健行,徒步旅行,扬起vt. 使高涨,拉起;[haik]
hilarious;a. 喜不自禁的,欢闹的,愉快的;[h4'lAri4s]
hilarity;n. 欢闹的心情,欢喜,高兴;[h4'l1r4ti]
hinder;a. 后面的vt.vi. 阻碍,打扰;['hind4,'haind4]
hinge;n. 铰链,关键,枢纽vt. 装铰链vi. 靠铰链移动,依...而转移;[hind9]
hoarse;a. 沙哑的,嘶哑的,刺耳的;[h3:s]
hoax;vt. 欺骗,哄骗,愚弄n. 愚弄人,恶作剧;[h4uks]
hoist;n. 升高,起重机,推动vt.vi. 升起,升高,举起;[h3ist]
holocaust;n. 烧全兽的祭;['h_l_k_:st]
homage;n. 尊崇,尊敬,效忠;['h3mid9]
homicide;n. 杀人,杀人者;['h3misaid]
homogeneous;a. 同种的,同质的,均质的;['h3m4'd9i:nj4s]
horizontal;n. 水平线,水平面,横的位置a. 水平线的,水平的,横的n. 水平;['h3ri'z3ntl]
horror;n. 惊骇,恐怖,惨事;['h3r4]
hospitable;a. 好客的,招待周到的;['h3spit4bl]
hostile;a. 怀敌意的,敌对的n. 敌对分子;['h3stail]
howl;n. 吠声,号叫vi. 狂吠,咆哮,呼啸vt. 狂喊着说;[haul]
hubbub;n. 吵闹声,叫嚷声,呐喊声;['h8b8b]
human;n. 人,人类a. 人类的,人性的,有同情心的;['hju:m4n]
humane;a. 有人情的,人道的,仁慈的;[hju'mein]
humid;a. 潮湿的,湿润的,多湿气的;['hju:mid]
humidity;n. 湿气,潮湿,湿度;[hju:'miditi]
humiliate;vt. 使丢脸,使蒙羞,屈辱;[hju1:3'milieit]
humorous;a. 富幽默感的,滑稽的,诙谐的;['hju:m4r4s]
hump;n. 圆形隆起物,瘤vi. 隆起成圆丘形,弓起,努力vt. 使弓起,使努力干;[h8mp]
hunger;n. 饥饿,渴望,饥馑vt. 使饥饿vi. 挨饿,渴望;['h86g4]
hurdle;n. 障碍,跳栏,临时活动篱笆vt. 用篱笆围,越过,克服;['h4:dl]
hurl;n. 用力的投掷vt. 用力投掷,愤慨地说出,丢下vi. 猛投,猛掷;[h4:l]
hurricane;n. 飓风,暴风,暴风雨;['h8rik4n]
husbandry;n. 农事,耕作,家政;['h8zb4ndri]
hustle;n. 急速活动,挤,推,拥挤喧嚷vt. 乱挤活动,硬逼,强夺vi. 硬挤过去;['h8sl]
hybrid;n. 混血儿,杂种,混合物a. 混合的,杂种的,混合语的;['haibrid]
hygiene;n. 卫生保健,卫生学,保健法;['haid9i:n]
hypothesis;n. 假设;[hai'p37isi:z]
iceberg;n. 冰山,冷冰冰的人;['aisb4:g]
identical;a. 同一的,恒等的,完全相同的;[ai'dentik4l]
identify;vt. 识别,认明,鉴定,使等同于vi. 一致,变成一致;[ai'dentifai]
ideology;n. 观念学,空论,意识形态,思想;[aidi'3l4d9i]
idiocy;n. 白痴,白痴的行为;['idi4si]
idiosyncrasy;n. 特质,特性;['idi4'sinkr4si]
idiot;n. 白痴,极蠢之人;['idi4t]
idiotic;a. 白痴的,愚蠢的,呆头呆脑的;['idi'atik]
idol;n. 偶像,崇拜物,幻象,谬论;['aidl]
idyllic;a. 田园诗的,牧歌的,悠闲的;[ai'dilik]
ignite;vt. 点燃,使灼热,使兴奋;[ig'nait]
ignoble;a. 卑贱的,卑鄙的,不名誉的;[ig'n4ubl]
ignominious;a. 可耻的,不名誉的,下流的;[ign4'mini4s]
ignorance;n. 无知,不知;['ign4r4ns]
ignorant;a. 无知识的,不知道的,幼稚的;['ign4r4nt]
ignore;vt.不理睬,忽视,驳回v. 忽略;[ig'n3:]
illegible;a. 难辨认的,字迹模糊的;[i'lAd94bl]
illegitimate;a. 不法的,非嫡出的,不符合习惯的,不合理的,庶生的n. 非嫡出子,庶子vt. 认为违法,认做私生子;[ili'd9itiimit]
illicit;a. 不法的,不正的,禁止的;[i'lisit]
illuminate;vt. 照明,阐明,用灯装饰,使灿烂,说明vi. 照亮;[i'lju:mineit]
illusion;n. 幻影,错觉,幻想;[i'lju:94n]
illustrate;vt. 举例说明,作图解,阐明vi. 举例;['il4streit]
illustrious;a. 著名的,辉煌的,明亮的;[i'l8stri4s]
imaginary;a. 想象的,虚构的,假想的;[i'm1d9in4ri]
imaginative;a. 想象的,虚构的;[i'm1d94n4tiv]
imbibe;vt. 饮,吸取,吸入vi. 喝,吸收水分;[im'baib]
imbue;vt. 使感染,使蒙受,鼓吹;[im'bju]
imitate;vt. 模仿,效法,冒充,仿造;['imiteit]
immediate;a. 立即的,直接的,近的;[i'mi:dj4t]
immense;a. 极广大的,无边的,非常好的;[i'mens]
immerse;vt. 沉浸,使陷入;[i'm4:s]
immigrate;vt. 使移居入境vi. 移来;['imigreit]
imminent;a. 即将来临的,逼近的;['imin4nt]
immobile;a. 不动的,不变的,固定的,静止的;[i'moubail]
immortal;n. 不朽的人物a. 永远的,不死的,神的;[i'm3:tl]
immune;a. 免疫的,免除的,不受影响的n. 免疫者;[i'mjun]
impact;n. 冲击,冲突,影响,效果vt. 挤入,撞击,压紧,对...发生影响;['imp1kt]
impair;vt. 损害,减少,削弱;[im'pA4]
impale;vt.刺穿,使绝望,钉住;[im'pel]
impart;vt. 给予,传授,告知;[im'pa:t]
impartial;a. 公平的,不偏不倚的;[im'pa:54l]
impassioned;a. 感激的,狂热的,热烈的;[im'p154nd]
impassive;a. 无感情的,冷淡的,不动的,平静的;[im'p1siv]
impatient;a. 不耐烦的,着急的,急切的;[im'pei54nt]
impeach;vt. 存疑,归咎,弹劾,检举,怀疑;[im'pi:t5]
impeccable;a. 无懈可击的,无缺点的,无瑕疵的,不会做坏事的;[im'pek4bl]
