abandon;vt. ·ÅÆú,³ÁÄçn. ·ÅÈÎ;[4'b1nd4n]
emaciated;a. ÊÝÈõµÄ,Ë¥ÈõµÄ;[i'mei5ieitid]
embalm;vt. ÒÔÒ©Îï·À¸¯,Ãú¼ÇÓÚÐÄ,Ê¹²»Ðà;[im'bam]
embarrass;vt. Ê¹À§¾½,Ê¹¾Ö´Ù²»°²,×è°­;[im'b1r4s]
embellish;vt. ÐÞÊÎ,×°ÊÎ,ÈóÉ«;[im'b1li5]
embezzle;vt. µÁÓÃ,Å²ÓÃ;[im'bAzl]
embody;vt. ¾ßÌå±í´ï,Ê¹¾ßÌå»¯;[im'b3di]
embrace;n. Óµ±§vt. Óµ±§,»¥ÏàÓµ±§,°üº¬,ÊÕÂòvi. Óµ±§;[im'breis]
embroider;vt. ´ÌÐå,Ïâ±ß,×°ÊÎvi. Ðå»¨;[im'br3id4]
emend;vt. ÐÞ¶©,Ð£¿±;[i'mAnd]
emerge;vi. ¸¡ÏÖ,ÐÎ³É,(ÓÉÄ³ÖÖ×´Ì¬)ÍÑ³ö,(ÊÂÊµ)ÏÔÏÖ³öÀ´;[i'm4:d9]
emigrate;vi.vt. (Ê¹)ÒÆ¾Ó,(Ê¹)ÒÆÃñ;['emigreit]
eminent;a. ÏÔºÕµÄ,½Ü³öµÄ,ÓÐÃûµÄ;['emin4nt]
emphasize;vt. Ç¿µ÷,¼ÓÇ¿ÓïÆø,×ÅÖØ;['emf4saiz]
emphatic;a. Óïµ÷Ç¿µÄ,ÓÃÁ¦µÄ,Ç¿µ÷ÁËµÄ;[im'f1tik]
employee;n. Ö°Ô±,Ô±¹¤,ÊÜ¹ÍÈËÔ±;['empl3i'i:]
employer;n. ¹ÍÖ÷,ÀÏ°å;[im'pl3i4]
empower;vt. ÊÚÓèÈ¨Á¦,ÔÊÐí,Ê¹ÄÜ¹»;[im'pau4]
empty;n. ¿ÕµÄ¶«Î÷,¿ÕÎïa. ¿ÕµÄ,¿ÕÐéµÄ,¿Õ¸¹µÄ,¿Õ¶´µÄvt. µ¹¿Õ,Ê¹±ä¿Õ,Ê¹Á÷Èëvi. Á÷¿Õ;['empti]
emulate;vt. Ð§·¨,¾¡Á¦¸ÏÉÏ,Í¬...¾ºÕù;['emjuleit]
enable;vt. Ê¹ÄÜ¹»;[i'neibl]
enact;vt. ÖÆ¶¨·¨ÂÉ,°çÑÝ,°ä²¼;[i'n1kt]
enchant;vt. Ê©Ä§·¨,Ê¹ÃÔ»ó;[in't5a:nt]
encompass;vt. (ÎÄÓï)1 Î§ÈÆ,°üÎ§2 °üº¬,º¬ÓÐ3 Ôì³É <»µµÄ½á¹ûµÈ>;[in'k8mp4s]
encourage;vt. ¹ÄÀø,Ö§³Ö,¼¤Àø;[in'k8rid9]
encroach;vi. ÇÖ·¸,ÇÖÊ´,²ÏÊ³;[in'krout5]
encumber;vt. ·Áº¦,×èº¦,ÍÏÀÛ;[in'k8mb4]
endanger;vt. Î£¼°;[in'deind94]
endeavor;n. Å¬Á¦,¾¡Á¦vi. Å¬Á¦,¾¡Á¦;[in'dAv4]
endless;a. ²»Í£µÄ,ÎÞÇî¾¡µÄ,ÎÞ¾¡µÄ;['endlis]
endorse;vt. Ö§³Ö,ÔÞÍ¬,±³ÊéÓÚ,Ç©;[in'd3:s]
endure;"vt.  (ÄÍÐÄµØ) ÈÌÊÜ,ÈÝÈÌa. ÈÌÄÍb. ¶Ô<×öÿÊÂ>ÈÌÄÍ,ÈÌÊÜ<×öÿÊÂ> vi. (ÎÄÓï)1 Î¬³Ö; ³ÖÐø,³Ö¾Ã (last) 2 ÈÌÄÍ,ÈÌÊÜ";[in'dju4]
energetic;a. ¾«Á¦³äÅæµÄ,»ý¼«µÄ;['en4'd9etik]
energize;vt. Ê¹»îÔ¾,¸øÓè¾«Á¦;['en4'd9aiz]
enervate;vt. Ê¹Ë¥Èõa. Ë¥ÈõµÄ,ÎÞÁ¦µÄ;['en4'veit]
engender;vt. ²úÉú,ÒýÆðvi. ·¢Éú,ÐÎ³É;[in'd9And4]
engross;vt. ÓÃ´ó×ÖÌåÊéÐ´,¶ÀÕ¼,Ê¹È«Éñ¹á×¢;[in'gr4us]
engrossed;adj. 1 ÈÈÖÔµÄ,×ÅÃÔµÄ2 ÈÈÖÔÓÚ,ÂñÍ·ÓÚ[in]; [in'gr_ust]  
engulf;vt. ¾íÈë,Îü½ø,Ê¹È«Éñ¹á×¢,ÍÌÃ»,Í¶ÈëÉîÔ¨;[in'g8lf]
enhance;vt. Ìá¸ß,¼ÓÇ¿,Ôö¼Ó;[in'ha:ns]
enigma;n. ÃÕ,²»¿ÉË¼ÒéµÄ¶«Î÷;[i'nigm4]
enigmatic;a. ÒõÑô¹ÖÆøµÄ,ÃÕÒ»°ãµÄ,¸ßÉîÄª²âµÄ;[enig'm1tik]
enlighten;vt. ÊÚÓè...ÖªÊ¶,Æô·¢,½Ìµ¼,¿ªµ¼;[in'laitn]
enlist;vt. Õ÷Ä¼,²ÎÓë,Ä±È¡vi. ´Ó¾ü,Ó¦Ä¼,ÔÞÖú;[in'list]
enormous;a. ¾Þ´óµÄ,ÅÓ´óµÄ;[i'n3:m4s]
enrage;vt. ¼¤Å­,Ê¹±©Å­;[in'reid9]
enrapture;vt. Ê¹¿ñÏ²;[in'r1pt54]
enrich;vt. Ê¹¸»×ã,Ê¹·ÊÎÖ;[in'rit5]
enslave;vt. Å«ÒÛ,Êø¸¿,³ÁÄç,Õ÷·þ;[in'sleiv]
entail;vt. Ê¹±ØÐè,Ê¹ÃÉÊÜ,Ê¹³Ðµ£,ÒÅ´«¸øn. ÏÞ¶¨¼Ì³ÐÈ¨;[in'teil]
entangle;vt. Ê¹¾À²ø,¾íÈë,Ê¹»ìÂÒ;[in't16gl]
enterprise;n. ÆóÒµ,ÊÂÒµÐÄ,½øÈ¡ÐÄ,¸ÉÊÂÒµ;['ent4praiz]
entertain;vt. ÓéÀÖ,ÕÐ´ý,»³±§vi. ¿î´ý;['ent4'tein]
enthrall;vt. ÃÔ»ó,Å«ÒÛ,ÃÔ×¡;[in'7r3l]
enthusiasm;n. ¿ñÈÈ,ÈÈÐÄ;[in'7ju:zi1z4m]
entice;vt. ÓÕÆ­,ÒýÓÕ,ËËÓÁ;[in'tais]
entitle;vt. È¡ÃûÎª,¸øÓèÃû³Æ,½Ð×ö;[in'taitl]
entitled;"v. ¸ø...È¨Á¦,¸øÓè±êÌâ,Ê¹ÓÐ×Ê¸ñ,¸øÓè±êÌâ,¸øÓèÃû³Æ;vbl. ¸ø...È¨Á¦";[in'taitld]
entity;n. ÊµÌå,Êµ´æÎï,´æÔÚ;['entiti]
entrap;vt. Æ­Èë,ÓÕ²¶,Ê¹ÏÝÈë;[in'tr1p]
entrepreneur;n. ÆóÒµ¼Ò,Ö÷°ìÈË;['3ntr4pr4'n4:]
enumerate;vt. ÁÐ¾Ù,¼ÆËã,Ã¶¾Ù,Êý;[i'nju:m4reit]
enunciate;vt. Ã÷È·µØÐðÊö,±íÃ÷vi. ·¢Òô;[i'n8nsieit]
envelop;vt. °ü·â,ÕÚ¸Ç,°üÎ§n. ÐÅ·â;[in'vel4p]
envoy;n. Íâ½»Ê¹½Ú,ÌØÊ¹;['env3i]
episode;n. ²åÇú,²å»°,ÓÐÈ¤µÄÊÂ¼þ,Ò»¶ÎÇé½Ú;['epis4ud]
epoch;n. ÐÂ¼ÍÔª,Ê±´ú,Ê±ÆÚ;['i:p3k]
equal;n. ¶ÔÊÖ,Æ¥µÐ,Í¬±²a. ÏàµÈµÄ,Æ½µÈµÄ,Ê¤ÈÎµÄ,²»ÏàÉÏÏÂµÄ,Æ½¾²µÄvt. µÈÓÚ,±ÈµÃÉÏ;['i:kw4l]
equate;vt. Ê¹ÏàµÈ,ÊÓÎªÆ½µÈvi. µÈÍ¬;[i'kwet]
equation;n. ÏàµÈ,µÈÊ½,Æ½ºâ;[i'kwei54n]
equator;n. ³àµÀ;[i'kweit4]
equilibrium;n. Æ½ºâ,Æ½¾²,¾ùºâ;[i:kwi'libri4m]
equipment;n. ×°±¸,Éè±¸Æ·,²ÅÄÜ;[i'kwipm4nt]
equitable;a. ¹«Æ½µÄ,¹«ÕýµÄ;['4kwit4bl]
equivalent;n. Í¬µÈÎï,µÈ¼ÛÎï,ÏàµÈÎïa. ÏàµÈµÄ,Ïàµ±µÄ,Í¬ÒâÒåµÄ;[i'kwiv4l4nt]
equivocate;vi. ËµÄ£ÀâÁ½¿ÉµÄ»°,Ö§Îá;[i'kwiv4keit]
equivocal;a. ÒâÒå²»Ã÷È·µÄ,Ä£ÀâÁ½¿ÉµÄ;[i'kwiv4kl]
erase;vt. Ä¨È¥,²Áµô;[i'reiz]
erect;a. Ö±Á¢µÄ,ÊúÁ¢µÄ,±ÊÖ±µÄvt. Ê¹ÊúÁ¢,Ê¹Ö±Á¢,Ê÷Á¢,½¨Á¢vi. ²ªÆð;[i'rekt]
erode;vt. ¸¯Ê´,ÇÖÊ´vi. ÊÜ¸¯Ê´;[i'r4ud]
erosion;n. ¸¯Ê´,³åÊ´,ÇÖÊ´;[i'r4u94n]
err;vi. ·¸´í,×ö´í,·¸×ï;[4:]
erratic;n. ¹Å¹ÖµÄÈË,Æ¯²´ÎÞ¶¨µÄÈËa. ²»ÎÈ¶¨µÄ,Ææ¹ÖµÄ;[i'r1tik]
erroneous;a. ´íÎóµÄ,²»ÕýÈ·µÄ;[i'r4unj4s]
erupt;vi. ±¬·¢vt. Åç³ö;[i'r8pt]
escape;n. ÌÓÍö,±ÜÄÑÉè±¸,³ö¿Ú,ÌÓÅÜvi. ÌÓÍÑ,±Ü¿ª,Áï×ßvt. ÌÓ±Ü,±ÜÃâ,±»Íüµô;[is'keip]
eschew;vt. ±Ü¿ª,Ô¶±Ü;[As't5u]
escort;n. »¤ËÍÕß,»¤ÎÀÕß,»¤º½½¢vt. »¤ÎÀ,»¤ËÍ;['esk3:t]
essential;n. ÒªËØ,Òªµã,±¾ÖÊa. ±ØÒªµÄ,ÖØÒªµÄ,±¾ÖÊµÄ;[i'sen54l]
esteem;n. ×ð¾´,×ðÖØvt. ×ð¾´,×ðÖØ,ÈÏÎª;[is'ti:m]
estimable;a. ¿É×ð¾´µÄ,¿É¹À¼ÆµÄ;['Ast4m4bl]
estimate;n. ¹À¼Æ,ÅÐ¶Ïvt. ¹À¼Æ,ÆÀ¼Û,ÅÐ¶Ïvi. ¹À¼Æ;['estimit,'estimeit]
eternal;a. ÓÀºãµÄ,ÓÀÔ¶µÄ,²»ÃðµÄ;[i't4:nl]
ethics;n. µÀµÂ¹æ·¶;['e7iks]
ethnic;adj. 1 Ãñ×å [ÈËÖÖ] µÄ2 Ãñ×åÌØÓÐµÄ (C) ÉÙÊýÃñ×åµÄ³ÉÔ±;['e7nik]
etiquette;n. ÀñÒÇ,Àñ½Ú,³É¹æ;['eti'ket,'etiket]
euphonious;a. ÒôÏìºÃµÄ,ÔÃ¶úµÄ,ºÍÐ³µÄ;[ju:'founi4s]
evacuate;vt.vi. ÊèÉ¢,³·³ö,ÅÅÐ¹;[i'v1kjueit]
evade;vt.vi. ¹æ±Ü,ÌÓ±Ü,¶ã±Ü;[i'veid]
evaluate;vt. ÆÀ¹À,ÆÀ¼Û,¸³Öµ;[i'v1ljueit]
evaporate;vi. Õô·¢,Ê§È¥Ë®·Ö,ÏûÊ§vt. Ê¹Õô·¢;[i'v1p4reit]
evasion;n. ÌÓ±Ü,½è¿Ú;[i've94n]
evasive;a. ÌÓ±ÜµÄ,»Ø±ÜµÄ,ÍÐ´ÇµÄ;[i'veisiv]
even;a. Æ½Ì¹µÄ,Å¼ÊýµÄ,ÏàµÈµÄ,¾ùÔÈµÄ,Á¬¹áµÄ,¾ùµÈµÄ,¹«Æ½µÄ,_Ãµ?Æ½¾²µÄ,Æ½¾ùµÄvt. Ê¹Æ½Ì¹,Ê¹ÏàµÈ,vi. ±äÆ½,ÏàµÈad. ÉõÖÁ,_?Õýµ±n. Å¼Êý,Å¼Ð£Ñé;['i:v4n]
eventual;a. ×îºóµÄ,ÖÕÓÚµÄ,¿ÉÄÜµÄ;[i'ventju4l]
evidence;n. Ö¤¾Ý,¼£Ïó;['evid4ns]
evident;a. ÏÔÈ»µÄ,Ã÷ÏÔµÄ;['evid4nt]
evoke;vt. »½Æð,ÒýÆð;[i'v4uk]
evolutionary;"adj. 1 ½ø»¯ÂÛµÄ2 Õ¹¿ª [½øÕ¹] µÄ; ÑÝ±ä [ÑÝ»¯] µÄ";['i:v4'lu:5n4ri,'ev4-]
evolve;vi. ½øÕ¹,½ø»¯,Õ¹¿ªvt. Ê¹·¢Õ¹,ÍÆÂÛ,Ê¹½ø»¯;[i'v3lv]
exacting;a. ¿ÁÇóµÄ,³ÔÁ¦µÄ;[ig'z1kti6]
exaggerate;vt.vi. ¿ä´ó,¿äÕÅ;[ig'z1d94reit]
exalt;vt. ÌáÉý,Ìá¸ß,ÔÞÑï,Ê¹µÃÒâvi. Ê¹ÈËÐË·Ü;[ig'z3:lt]
exalted;a. ×ð¹óµÄ,¸ßÎ»µÄ,¸ßÉÐµÄ,ÐË·ÜµÄ;[ig'z3:ltid]
exasperate;vt. Ê¹ÄÕÅ­,¼¤Å­,¶ñ»¯a. ÄÕÅ­µÄ,¼¤Å­µÄ,¶ñ»¯µÄ;[ig'za:sp4reit]
excavate;vt.vi. ÍÚ,ÍÚ¿ª,ÔäÍ¨;['eksk4veit]
excellent;a. ÓÅÁ¼µÄ,½Ü³öµÄ,³öÉ«µÄ;['eks4l4nt]
exception;n. ÀýÍâ,³ýÍâ,ÒìÒé;[ik'sep54n]
exceptional;a. ÀýÍâµÄ,Òì³£µÄ,ÌØ±ðµÄ;[ik'sep54nl]
excerpt;n. ÕªÂ¼,ÒýÓÃvt. ÕªÂ¼,ÒýÓÃ;['eks4:pt]
excess;n. ¹ý¶È£¬³¬¹ý,³¬¶îa. ¹ý¶ÈµÄ,¶îÍâµÄ;[ik'ses,'ekses]
excessive;a. ¹ý¶ÈµÄ,¸ñÍâµÄ,¼«¶ËµÄ;[ik'sesiv]
exchange;n. ½»»»,»ã¶Ò,½»Ò×Ëùvt.vi. ½»»»,½»Ò×,¶Ò»»;[iks't5eind9]
excitement;n. ´Ì¼¤,ÐË·Ü;[ik'saitm4nt]
exclaim;vt.vi. ´ó½Ð,ºôº°,´óÉù½Ð;[iks'kleim]
exclusion;n. ÅÅ³ý,³ýÍâ,Öð³ö;[iks'klu:94n]
exclusive;a. ¶ÀÕ¼µÄ,Î¨Ò»µÄ,ÅÅÍâµÄa. ¶ÀÕ¼µÄ;[iks'klu:siv]
excuse;vt. Ô­ÁÂ,Éê±ç,×÷Îª...µÄÍÐ´Çn. ÖÂÇ¸,ÀíÓÉ,½è¿Ú,ÈÄË¡,¿ÚÊµ;[iks'kju:z,iks'kju:s]
exemplary;a. ¿É·ÂÐ§µÄ,¿É×öÄ£·¶µÄ;[ig'zempl4ri]
exemplify;vt. ÀýÖ¤,ÀýÊ¾;[ig'z4mplifai]
exempt;n. ÃâË°Õß,±»Ãâ³ýÒåÎñÕßa. Ãâ³ýµÄvt. Ê¹Ãâ³ý,»íÃâ;[ig'zempt]
exert;vt. ·¢»Ó,ÔËÓÃ,Ê©ÒÔÓ°Ïì;[ig'z4:t]
exhale;vt.vi. ºôÆø,·¢³ö,·¢É¢;['eksheil,eg'zeil]
exhaust;n. ÅÅÆø,ÅÅÆø×°ÖÃvt. ÓÃ¾¡,ºÄ¾¡,³éÍê,Ê¹¾«Æ£Á¦¾¡vi. ÅÅÆø;[ig'z3:st]
exhaustive;a. ÎÞÒÅÂ©µÄ,³¹µ×µÄ,Ïê¾¡µÄ;[ig'z3:stiv]
exhibit;n. Õ¹ÀÀÆ·,³ÂÁÐÆ·,Õ¹ÀÀvt. Õ¹ÏÖ,³ÂÁÐ,Õ¹ÀÀvi. ¿ªÕ¹ÀÀ»á;[ig'zibit]
exhume;vt. ¾ò³ö,·¢¾ò;[eks'hju:m]
exile;n. ·ÅÖð,Á÷·Å,±»·ÅÖðÕßvt. ·ÅÖð,Á÷·Å,Ê¹±³¾®ÀëÏç;['eksail]
exist;vi. ´æÔÚ,·¢Éú,Éú´æ;[ig'zist]
exit;n. ³ö¿Ú,ÍË³¡,ÀëÈ¥,È¥ÊÀvi. ÍË³ö,ÍÑÀë,È¥ÊÀv. ÍË³ö;['eksit]
exodus;n. ´óÅúµÄÀëÈ¥;['eks4d4s]
exorbitant;a. ¹ý¶ÈµÄ,¹ý¸ßµÄ,¹ý·ÖµÄ;[ig'z3:bit4nt]
exotic;a. Òì¹úµÄ,ÍâÀ´µÄn. ÍâÀ´Îï,²°À´Æ·;[ig'z3utik]
expand;vt. Ê¹ÅòÕÍ,ÏêÊö,À©ÕÅvi. ÕÅ¿ª,·¢Õ¹v. Õ¹¿ª;[iks'p1nd]
expansive;a. Ò×ÅòÕÍµÄ,Ò×À©ÕÅµÄ;[iks'p1nsiv]
expedient;n. È¨ÒËÖ®¼Æ,ÁÙÊ±ÊÖ¶Îa. È¨ÒËµÄ,·½±ãµÄ,ÓÐÓÃµÄ;[iks'pi:dj4nt]
expedite;vt. ¼Ó¿ì,´Ù½ø,ÅÉ³öa. ³©Í¨µÄ,ÎÞ×è°­µÄ,Ñ¸ËÙµÄ,·½±ãµÄ;['ekspidait]
expedition;n. Ô¶Õ÷,Ì½ÏÕ¶Ó,Ñ¸ËÙ;['ekspi'di54n]
expeditious;a. Ñ¸ËÙµÄ,Ãô½ÝµÄ;[ekspi'di54s]
experienced;a. ¸»ÓÐ¾­ÑéµÄ,ÀÏÁ·µÄ,ÊìÁ·µÄ;[iks'pi4ri4nst]
expertise;n. ×¨¼ÒµÄÒâ¼û,×¨ÃÅ¼¼Êõ;[eksp4'ti:z]
expire;vi. ÆÚÂú,ºôÆø,¶ÏÆøvt. ºô³ö;[iks'pai4]
explicit;a. ÍâÔÚµÄ,Çå³þµÄ;[iks'plisit]
explode;vi. ±¬Õ¨,±¬·¢,¼¤·¢vt. Ê¹±¬Õ¨;[iks'pl4ud]
exploit;n. ¹¦¼¨,Ñ«¼¨vt. ¿ª·¢,ÀûÓÃ,¿ªÍØ,°þÏ÷;['ekspl3it,iks'pl3it]
explore;vt.vi. Ì½ÏÕ,Ì½²â,Ì½¾¿;[iks'pl3:]
explosive;n. Õ¨Ò©,±¬Õ¨Îïa. Ò×±¬·¢µÄ,±¬Õ¨µÄ,±©ÔêµÄ;[iks'pl4usiv]
exponent;n. ËµÃ÷Õß,ËµÃ÷Îïa. ËµÃ÷µÄn. Ö¸Êý;[iks'poun4nt]
exposure;n. ±©Â¶,½Ò·¢,½ÒÂ¶;[iks'p4u94]
expound;vt.vi. ÏêÏ¸ËµÃ÷,½âÊÍ;[iks'paund]
exquisite;a. ¾«ÖÂµÄ,Ï¸ÄåµÄ,ÃôÈñµÄ;['ekskwizit]
extant;a. ÏÖ´æµÄ,Î´»ÙµÄ;[eks't1nt]
extemporaneous;a. ÎÞ×¼±¸µÄ,¼´Ï¯µÄ,ÁÙÊ±µÄ;[ekstemp4'reinj4]
extension;n. ÑÓ³¤,À©³ä,·¶Î§n. À©Õ¹Ãû;[iks'ten54n]
extensive;a. ¹ãµÄ,¹ã·ºµÄ,¶à·½ÃæµÄ;[iks'tensiv]
extenuate;vt. ¼õÇá,Ê¹ÈËÔ­ÁÂ;[ik'stAnju'et]
exterminate;vt. ÆËÃð,ÏûÃð,¸ù¾ø;[eks't4:mineit]
external;n. Íâ²¿,ÍâÃæa. Íâ²¿µÄ,¿Í¹ÛµÄ,±íÃæµÄ;[eks't4:nl]
extinct;a. Ï¨ÃðµÄ,Ãð¾øµÄ,ºÄ¾¡µÄ;[iks'ti6kt]
extinction;n. ÏûÊ§,ÏûÃð,·ÏÖ¹;[iks'ti6k54n]
extinguish;vt. Ï¨Ãð,ÏûÃð,³¥Çå;[iks'ti6gwi5]
extol;vt. ËÌÑï,³ÆÔÞ,´µÅõ;[iks't3l]
extraneous;a. ÎÞ¹ØÏµµÄ,ÍâÀ´µÄ;[eks'treinj4s]
extravagant;a. ÉÝ³ÞµÄ,»Ó»ôÎÞ¶ÈµÄ,ÀË·ÑµÄ;[iks'tr1vig4nt]
extricate;vt. Ê¹½âÍÑ,¾È³ö;['ekstrikeit]
exude;vt.vi. (Ê¹)Á÷³ö,(Ê¹)Éø³ö;[ik'sjud]
exultant;a. ·Ç³£¸ßÐËµÄ,»¶Ô¾µÄ;[ig'z8ltnt]
eyewitness;n. Ä¿»÷Õß,¼ûÖ¤ÈË;['ai'witnis]
fable;n. Ô¢ÑÔ,Éñ»°,»ÑÑÔvi. Ðé¹¹,×÷Ô¢ÑÔ;['feibl]
fabricate;vt. ÖÆÔì,½¨Ôì,×°Åä,Î±Ôì;['f1brikeit]
facet;n. Ð¡Æ½Ãæ,·½Ãæ,¿ÌÃæ;['f1sit]
facetious;a. »¬»üµÄ,°®¿ªÍæÐ¦µÄ;[f4'si:54s]
facile;a. ÎÂºÍµÄ,ÈÝÒ×µÄ,ÁéÇÉµÄ;['f1sail]
facility;n. Éè±¸,ÈÝÒ×,ÁéÇÉ;[f4'siliti]
factious;a. ºÃ¸ãÅÉÏµµÄ,ºÃµ·ÂÒµÄ;['f1k54s]
faint;n. »èØÊ,»èµ¹a. Î¢ÈõµÄ,ÎÞÁ¦µÄ,Ä£ºýµÄvi. »èµ¹,±äµÃÎ¢Èõ;[feint]
faithful;a. ÖÒÊµµÄ,ÏêÈ·µÄ,¿É¿¿µÄn. ÐÅÍ½;['fei7ful]
fallible;a. Ò×´íµÄ,¿ÉÄÜ·¸´íµÄ;['f1l4bl]
familiarize;vt. Ê¹ÊìÏ¤,Ê¹ÊìÖª,Ê¹Í¨Ë×»¯;[f4milj4raiz]
famish;vt. Ê¹°¤¶övi. ¼¢¶ö,°¤¶ö;['f1mi5]
fanatic;n. ¿ñÈÈ,¿ñÈÈÕß,Ã¤ÐÅa. ¿ñÈÈµÄ,Ã¤ÐÅµÄ;[f4'n1tik]
fanaticism;n. ¿ñÈÈ,Ã¤ÐÅ;[f4'n1tisizm]
fantasy;n. »ÃÏë,°×ÈÕÃÎ;['f1nt4si]
farce;n. ÄÖ¾ç,»¬»ü¾ç,ºúÄÖ;[fa:s]
fascinate;vt. ÁîÈËÈëÉñ,Ê¹×ÅÃÔvi. ÈëÃÔ;['f1sineit]
fashionable;a. Ê±÷ÖµÄ,ÉÏÁ÷Éç»áµÄ,Á÷ÐÐµÄ;['f154n4bl]
fatalism;n. ËÞÃüÂÛ;['fetl'iz4m]
fateful;a. ËÞÃüµÄ,ÖØ´óµÄ,¾ö¶¨ÐÔµÄ;['feitful]
fatuous;a. ·¢´ôµÄ,ÓÞ±¿µÄ,×ÔÂúµÄ;['f1tju4s]
feasible;a. ÄÜÊµÐÐµÄ,¿ÉÐÐµÄ,ÊÊÒËµÄ;['fi:z4bl]
feat;n. ×³¾Ù,¹¦¼¨,¼¼ÒÕ±íÑÝa. Æ¯ÁÁµÄ,ºÏÊÊµÄ;[fi:t]
feeble;a. Î¢ÈõµÄ,Ë¥ÈõµÄ,ÎÞÐ§µÄ;['fi:bl]
feign;vt. ¼Ù×°,×°×÷vi. ×÷¼Ù;[fein]
fermentation;(U) 1 ·¢½Í (×÷ÓÃ) 2 É§¶¯,ÈËÐÄµÄ¶¯Ò¡,¼¤¶¯;['f4:men'tei5n]
ferocious;a. ²ÐÈÌµÄ,Ð×ÃÍµÄ;[f4'r4u54s]
ferret;n. °×÷ø,Ñ©õõ,ÕìÌ½,Ï¸´øvt. ÓÃÑ©õõ´òÁÔ,ËÑ³ö,Çý³övi. ËÑË÷;['fArit]
fertile;a. ·ÊÎÖµÄ,Éú²ú¶àµÄ,ÄÜÉú²úµÄ;['f4:tail]
fertilizer;n. ·ÊÁÏ,ÊÜ¾«Ã½½éÎï;['f4:tilaiz4]
fervent;a. ÈÈµÄ,Ñ×ÈÈµÄ,ÈÈÐÄµÄ;['f4:v4nt]
fester;vi. À£ÀÃ,ÉúÅ§,ÉúÅ§vt. Ê¹À£ÀÃn. Å§´¯,À£ÀÃ;['fest4]
fetter;n. ½ÅÁÍ,î¿°í,Êø¸¿vt. Êø¸¿,¼Ó½ÅÁÍ;['fet4]
feud;n. ²»ºÍ,·âµØ,ÕùÖ´vi. ³¤ÆÚ²»ºÍ,³¤ÆÚÕù¶·;[fju:d]
feverish;a. ÐË·ÜµÄ;['fi:v4ri5]
fickle;a. ±ä»ÃÎÞ³£µÄ,¸¡ÔêµÄ,±¡ÇéµÄ;['fikl]
fiction;n. Ð¡Ëµ,Ðé¹¹µÄ¹ÊÊÂ,·¨ÂÉµÄÄâÖÆ;['fik54n]
fictitious;a. ¼ÙÏëµÄ,±àÔìµÄ,ÐéÎ±µÄ;[fik'ti54s]
fidelity;n. ÖÒÊµ,³ÏÊµ,ÖÒ³Ï,±£Õæ¶È;[fi'deliti]
figment;n. Ðé¹¹µÄÊÂ;['figm4nt]
figurehead;n. ×°ÊÎ´¬Í·µÄÈËÏñ,ÆÆÀËÉñ,¿þÀÜÁìÐä;[fig4hed]
filthy;a. ÎÛ»àµÄ,³ó¶ñµÄ;['fil7i]
final;n. ½á¾Ö,¾öÈü,ÆÚÄ©¿¼ÊÔa. ×îºóµÄ,ÖÕ¼«µÄ,¾ö¶¨ÐÔµÄ;['fainl]
finance;n. ²ÆÕþ,²ÆÎñvt. ¹©¸ø...¾­·Ñ,¸ºµ£¾­·Ñvi. ³ï´ë×Ê½ð;[fai'n1ns,fi-]
finch;n. È¸Àà;[fint5]
fine;n. ·£¿î,·£½ð,ÇçÌìa. ºÃµÄ,ÇçÀÊµÄ,¾«Ï¸µÄ,Ï¸Ð¡µÄ,½¡¿µµÄvt. ·£¿î,¾«Á¶,³ÎÇåvi. ±äÇå,±äÏ¸ad. ºÜºÃ;[fain]
firm;n. ¹«Ë¾,ÉÌºÅa. ¼á¶¨µÄ,¼áÇ¿µÄ,ÀÎ¹ÌµÄ,½áÊµµÄ,¼áÓ²µÄ,È·¶¨µÄ,ÑÏ¸ñµÄ,¼áÍ¦µÄvt. Ê¹ÀÎ¹Ì,Ê¹¼á¶¨vi. ±äÎÈ¹Ì,±ä¼áÊµad. ÎÈ¹ÌµØ;[f4:m]
fishy;a. ÓãËÆµÄ,¶àÓãµÄ,ÐÈ³ôµÄ,´ôÖÍµÄ;['fi5i]
fit;n. ÊÊÒË,ºÏÉí,·¢×÷,¾·ÂÎa. ÊÊÒËµÄ,¶ÔµÄ,×¼±¸ºÃµÄvt. ÊÊºÏ,°²×°,Ê¹ºÏ¸ñ,Ê¹ÊÊÓ¦,Ê¹ºÏÉívi. ÊÊºÏ,·ûºÏ,ºÏÉí;[fit]
fitful;a. ¶Ï¶ÏÐøÐøµÄ,Ò»ÕóÕóµÄ,¼äÐªµÄ;['fitful]
fitting;a. ÊÊÒËµÄn. ÊÔ´©,ÊÔÒÂ,×°Åä,×°ÖÃ;['fiti6]
fixed;a. ¹Ì¶¨µÄ,²»±äµÄ,×¼±¸ºÃµÄ;[fikst]
fixture;n. ¹Ì¶¨Îï,Éè±¸;['fikst54]
flare;n. ÉÁ¹â,ÉÁÒ«vi. ÉÁ¹â,ÉÁÒ«vt. Ê¹ÉÁÒ«,Ê¹ÕÅ¿ª;[flA4]
flatter;vt. ¹ý·Ö¿äÔÞ,·î³Ð,°¢ÚÄ,Ê¹¸ßÐË;['fl1t4]
flavor;n. ×ÌÎ¶,ÏãÁÏvt. ¼ÓÎ¶ÓÚ;['fleiv4]
flaw;n. È±µã,ÁÑÎÆ,è¦´Ã,Ò»Õó¿ñ·ç;[fl3:]
